Chin,Sex,Group,Exposed,Click_P1,Click_N1,Click_P2,Click_N2,Click_P3,Click_N3,Click_P4,Click_N4,Click_P5,Click_N5,Click_Threshold,Click_P1_Latency,Click_N1_Latency,Click_P2_Latency,Click_N2_Latency,Click_P3_Latency,Click_N3_Latency,Click_P4_Latency,Click_N4_Latency,Click_P5_Latency,Click_N5_Latency,4k_P1,4k_N1,4k_P2,4k_N2,4k_P3,4k_N3,4k_P4,4k_N4,4k_P5,4k_N5,4k_Threshold,4k_P1_Latency,4k_N1_Latency,4k_P2_Latency,4k_N2_Latency,4k_P3_Latency,4k_N3_Latency,4k_P4_Latency,4k_N4_Latency,4k_P5_Latency,4k_N5_Latency,F2_500,F2_565,F2_638,F2_721,F2_815,F2_921,F2_1041,F2_1176,F2_1329,F2_1502,F2_1698,F2_1918,F2_2168,F2_2449,F2_2768,F2_3128,F2_3535,F2_3994,F2_4513,F2_5100,F2_5763,F2_6513,F2_7359,F2_8316,F2_9397,F2_10619,F2_12000,elicit_dbspl_34,elicit_dbspl_40,elicit_dbspl_46,elicit_dbspl_52,elicit_dbspl_58,elicit_dbspl_64,elicit_dbspl_70,elicit_dbspl_76,elicit_dbspl_82,elicit_dbspl_88,elicit_dbspl_94,Threshold,R_PLV_SAM,R_PLV_SQ50,R_PLV_SQ25
Q406,M,TTS,2,0.889024108031354,-0.0113960681226565,1.41498088843435,1.37811140692943,1.38159053134287,-0.0921042948815335,0.679218518209539,0.304060188496416,-0.0450885078814241,-0.819775956580761,14.9687623347587,3.7990497255673,4.17793069550258,4.59777177029573,4.6387318751536,4.65921192758254,4.98689276644548,5.21217334316376,5.4784140247399,6.00065536167773,6.79937740640616,0.433903460515613,0.010637728526696,0.491192878772239,0.440207806141824,0.491192878772239,0.175978458203747,0.686161546644124,-0.0332159435222392,0.197753242557077,-0.583553980197053,12.8970416237495,3.7990497255673,4.33153108871959,4.61825182272467,4.5772917178668,4.61825182272467,4.83329237322847,5.25313344802163,5.76513475874498,6.45121651511428,7.33185876955845,NaN,NaN,NaN,23.06566355,27.40662218,31.7106764,29.74933978,32.04050782,31.95245152,32.56867196,33.47425321,32.79896249,34.18477763,37.79662815,37.74001772,41.66504447,40.67234763,41.51332402,40.8946565,45.09515838,46.64656615,42.7305357,41.91269187,41.20726452,39.49673641,36.95038822,27.33787746,0.000859309214210318,0.00156564580890696,0.00285240208227184,0.00519611918708184,0.00946364570880499,0.0172296260594324,0.0313471886896854,0.0569621340208906,0.103277260727576,0.186498873900328,0.33436917916278,74.6889138314541,5.27063176563274,6.27872561615515,4.75913858887467
Q407,M,TTS,0,0.587421966165917,0.00756605788919803,0.667029911031126,0.710166308997647,0.701436781388964,0.679824166907217,0.36350840032507,0.332758008413167,0.356761389377073,-0.281820815072718,37.2008398061489,4.03457032850004,4.27009093143278,4.87425247808634,5.24289342180716,5.22241336937823,5.4169738674531,5.77537478495945,5.88801507331859,6.00065536167773,6.89153764233636,0.338715345142362,-0.0810786567574804,0.724603789337443,0.0883160375796251,0.724603789337443,0.0832977509569361,1.04842284913173,-0.0842207311555169,0.458631578072835,-0.262730739902344,21.5889338863089,3.75808962070943,4.29057098386172,4.5772917178668,4.86401245187188,4.5772917178668,4.90497255672974,5.26337347423609,6.12353567625133,6.44097648889981,7.28065863848611,NaN,NaN,NaN,NaN,NaN,23.80826137,21.82998735,22.50350834,24.79471353,26.78163139,27.1336659,24.22141453,26.98918308,30.5191521,28.41362573,28.39558758,29.39136276,28.99418599,28.46658703,32.07249583,35.0851422,35.13746683,33.60323184,29.51939661,21.79452181,13.1062437,0.5044423804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.95247590731206,4.18939337912567,4.31645028124945
Q407,M,TTS,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.51977197,17.11503129,17.8896403,21.03455606,20.5024008,19.54501367,19.43567693,17.24690081,11.74673104,8.589633978,5.253210997,11.80970724,7.820782671,2.248766806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q407,M,TTS,2,0.60950982440132,0.603875331253308,1.35676975798002,0.347681013057218,1.35676975798002,0.527125151514755,0.605319085910761,0.335308979463029,1.01450289451545,-0.547808041022877,29.5720255277396,4.04481035471451,4.07553043335791,5.07905300237569,4.79233226837061,5.07905300237569,5.59105431309904,5.73441468010158,5.94945523060539,6.2566560170394,6.87105758990743,0.378061678735689,0.00341342335372655,0.636611606502928,0.745402434215495,0.776362573653786,0.791719312749765,0.912223081848029,0.472541926953817,1.6093868222981,-0.551692905291316,18.6615926253003,3.91169001392644,4.43393135086426,4.97665274023101,5.15073318587696,5.20193331694929,5.22241336937823,5.31457360530843,6.09281559760793,6.38977635782748,7.16801835012698,NaN,NaN,NaN,NaN,NaN,23.64095307,22.55739388,22.67000601,27.50601584,29.63972156,30.19969122,27.82856693,28.80814043,32.76979482,33.2581021,34.50168096,35.94850454,34.53144342,32.80528474,35.3159442,37.1515824,36.75265818,34.67342485,26.92157781,14.19861241,9.280500442,11.12699145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.85506891086627,4.74259336219521,4.38306436364743
Q410,F,TTS,0,1.2285802679963,0.239859381693578,1.06089828407337,0.455619600541332,0.494562410186904,-0.0701622890726268,0.871800487027192,0.0573208960048987,1.04761745176767,-1.57190905227683,28.9644767440845,4.01409027607111,4.30081101007619,4.6080117965102,4.86401245187188,4.89473253051528,5.13025313344802,5.43745391988204,5.75489473253052,6.1644957811092,6.99393790448104,1.30654985152844,0.0478263319999082,0.461677121423451,0.333459743945681,0.461677121423451,0.175741268045417,1.0952706678095,-0.200950311602766,0.689536815131878,-1.54953495298286,12.8800728015669,4.02433030228557,4.35201114114852,4.58753174408127,4.67969198001147,4.58753174408127,4.81281232079954,5.39649381502417,5.83681494224625,6.26689604325387,6.8505775374785,25.7626136,27.64880244,29.49291868,32.87582987,32.44011142,35.16544218,33.80984793,33.8577941,33.55011978,35.01556314,34.38068344,32.06350399,32.61120374,35.75164379,38.1941783,37.56175247,35.63438642,38.62004821,41.40231164,35.84499322,43.28416534,43.11221869,45.0666126,42.10772058,39.07363905,36.2276084,26.68897052,0.000644563917099214,0.00136441256703551,0.00288788231211417,0.00611105311078219,0.0129254903269082,0.0273113796187927,0.0575870336357422,0.120888577009792,0.251453435754151,0.513354852661181,1.0105282255035,68.8617613054806,3.54932341729779,5.6554836895446,5.56404171499293
Q410,F,TTS,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.47650376,27.09333165,29.78836041,29.99681589,33.06230018,34.39774779,33.53708865,32.75561078,34.9972715,33.24376707,36.16528169,34.31701098,29.17448116,34.02946459,35.26770698,34.00562592,31.4642303,31.12304443,26.36221519,16.95088816,11.00581713,10.70786718,0.00359360258142009,0.00562440406455228,0.00879271623967491,0.0137211592825189,0.0213525561610206,0.0330859783887041,0.0509314702529435,0.0776294625564884,0.116602969161139,0.171504769975401,0.245085013132372,69.7408136111141,NaN,NaN,NaN
Q410,F,TTS,2,0.41363431216074,0.265638662149917,0.763794339462892,0.0959614024919488,0.741792413551595,0.0830348979357152,0.470668226048889,0.251037258233367,0.450810836969367,-0.495317167757816,17.0270949871147,3.7990497255673,3.99361022364217,4.39297124600639,4.76161218972721,5.07905300237569,5.4476939460965,5.91873515196199,6.09281559760793,6.46145654132875,6.92225772097977,0.586635302159793,-0.126164129687451,0.791587293822647,0.782764844828712,0.817153607596285,0.782764844828712,0.817153607596285,-0.312672267789322,0.740460924548893,-0.691165864101998,5,3.99361022364217,4.40321127222086,4.79233226837061,4.81281232079954,4.86401245187188,4.81281232079954,4.86401245187188,5.80609486360285,6.26689604325387,7.10657819284017,NaN,NaN,NaN,24.55902847,27.09317048,26.00458951,27.62808943,30.93436391,31.36998698,32.09826194,31.04246138,27.20089082,29.29560386,30.76789672,36.51805801,37.1680785,37.23252128,33.51820695,39.12809194,40.68459271,38.54369442,35.67860016,37.4489952,34.68981585,30.70086354,20.53324176,20.62662511,1.0033021054541e-06,3.33107599115421e-06,1.10595142839865e-05,3.67183571038585e-05,0.000121903469315586,0.000404670186419932,0.00134285190090605,0.00445072168194259,0.0146926280756878,0.0478745884383585,0.14971085368906,88.2232596925529,3.73837584771923,5.52180951580358,4.68843799649147
Q411,F,TTS,0,0.77109625483624,-0.185713313224046,0.646362297626427,-0.402629592938897,0.646362297626427,-0.402629592938897,-0.227089532728656,-1.00326457254034,0.41854538149341,-0.71826648870737,23.7837264287458,3.80928975178176,4.22913082657492,4.5772917178668,4.90497255672974,4.5772917178668,4.90497255672974,5.10977308101909,5.34529368395183,5.82657491603179,6.45121651511428,0.77126978040937,-0.365304589459403,0.523918941798879,-0.149809035995233,0.523918941798879,-0.149809035995233,0.516473317986987,-1.38762174453869,0.783050504553672,-0.857844931009698,12.5352095383525,3.77856967313836,4.20865077414598,4.5772917178668,4.86401245187188,4.5772917178668,4.86401245187188,5.09953305480462,5.43745391988204,5.89825509953306,6.34881625296961,NaN,NaN,28.79419177,30.47399615,32.71686453,33.67546481,31.99804902,32.12983546,31.96601285,34.53355912,35.04220838,33.82063845,33.31191382,35.86860945,37.45419394,34.8679173,40.24398036,36.13610822,41.90896842,44.75837354,47.42424054,47.05061204,46.11700419,39.4646107,37.98936321,36.93196112,30.86095826,5.73248693949377e-08,4.02918539555885e-07,2.83198566867754e-06,1.99050008973398e-05,0.000139899037586733,0.00098296119596652,0.00689190997368095,0.047616733761786,0.298928059649799,1.2,2.1010719403502,76.1533919947383,3.26692168528629,5.33495576844665,4.90320604835591
Q411,F,TTS,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6349603,21.276642,25.05985813,26.58106326,23.39103231,17.0430905,22.21130214,19.25960038,27.49222146,27.44189806,25.54398312,NaN,8.472044979,-4.414174383,NaN,0.000117064156198284,0.000247821220031251,0.000524621390950248,0.00111055118387609,0.00235071287186147,0.0049750077323124,0.0105255923854996,0.022253608409713,0.0469811312420256,0.0988824836753386,0.206796329190231,82.500913553274,NaN,NaN,NaN
Q411,F,TTS,2,1.1114064388138,0.518993062862964,1.61199932745722,0.145911498924244,1.61199932745722,-0.142558583108613,1.61199932745722,-0.176766577381541,0.639986143342174,-0.553299671724967,16.4118649264881,3.77856967313836,4.35201114114852,5.03809289751782,4.67969198001147,5.03809289751782,5.3862537888097,5.03809289751782,5.78561481117392,6.27713606946834,7.0041779306955,1.28232018603224,-0.187776226602017,1.42166532507542,1.43624356967658,1.43755273985168,1.43624356967658,1.69055222885264,-0.698491774774587,0.623574879915285,-0.733509857169177,6.39445615587218,3.77856967313836,4.17793069550258,4.5465716392234,4.56705169165233,4.58753174408127,4.56705169165233,5.19169329073482,5.62177439174244,6.12353567625133,7.49569918898992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.22443624,NaN,NaN,30.08664573,32.56273014,36.01831034,36.86828996,33.88068155,34.11371387,26.76411436,22.61786623,25.83835178,25.07434766,20.83904815,31.29769756,38.08189646,38.80372352,39.53085927,36.48563431,23.65027063,5.75530638285587e-08,2.57934930664235e-07,1.15598402984999e-06,5.18075838563941e-06,2.32184958816888e-05,0.000104057027731808,0.000466330125289109,0.00208952255276576,0.00935608212044412,0.0417610055484672,0.183818959280205,88.7243831911191,3.39036021158995,4.91669691397964,4.78869198585558
